vernacularName,scientificName
Bovid (Gazella) unknown,Gazella spec.
Florida White-tailed Deer,Odocoileus virginianus seminolus
Four-toed Elephant Shrew,Petrodromus tetradactylus
European Roller ssp semenowi,Coracias garrulus semenowi
Brown Hawk-Owl ssp scutulata,Ninox scutulata scutulata
Stork-billed Kingfisher ssp malaccensis,Pelargopsis capensis malaccensis
Desert Lark ssp cheesmani,Ammomanes deserti cheesmani
Middle Spotted Woodpecker ssp sanctijohannis,Dendrocoptes medius sanctijohannis
Barred flagtail,Kuhlia mugil
Bell's Sparrow,Artemisiospiza belli
Northern Beardless Tyrannulet,Camptostoma imberbe
European Crested Tit ssp weigoldi,Lophophanes cristatus weigoldi
Scottish flameflower,Tropaeolum speciosum
Old World Sparrow unknown,Passeridae spec.
Two-spotted cardinalfish,Apogon binotatus
Sandbur,Cenchrus longispinus
Stinking clammyweed,Polanisia dodecandra
Chinese Shortwing,Brachypteryx sinensis
Tall chamomile,Cota altissima
False Dewy Ringlet,Erebia sthennyo
Yellow-banded Ringlet,Erebia flavofasciata
RÃ¤tzer's Ringlet,Erebia christi
Pied-crested Tit-Tyrant,Anairetes reguloides
Honeycomb moray,Gymnothorax favagineus
Doll's-eyes,Actaea pachypoda
Xingu Scale-backed Antbird ssp nigrigula,Willisornis vidua nigrigula
Odd-spot Blue,Turanana taygetica
Gervais' Beaked Whale,Mesoplodon europaeus
Pale bristle moss,Orthotrichum pallens
Scaly tree fern,Cyathea cooperi
Bluetail Day Gecko,Phelsuma cepediana
Lesser Clouded Yellow,Colias chrysotheme
Black serpent star,Ophiocomina nigra
Rusty-breasted Nunlet,Nonnula rubecula
Brown Gerygone ssp mouki,Gerygone mouki mouki
Bendire's Thrasher,Toxostoma bendirei
White-foxtail,Cenchrus longisetus
Blue-browed Tanager,Tangara cyanotis
Goose Foot Starfish,Anseropoda placenta
Silver ponysfoot,Dichondra argentea
Eastern Bentwing Bat,Miniopterus schreibersii oceanensis
Australian Ghost Bat,Macroderma gigas
Lesser Bird-of-paradise,Paradisaea minor
Paddle-tailed Darner,Aeshna palmata
Garden babysbreath,Gypsophila scorzonerifolia
Chinese trumpetfish,Aulostomus chinensis
Tiger snake eel,Myrichthys maculosus
Very-long-nose butterflyfish,Forcipiger longirostris
Sharpleaf ragged rim-lichen,Loxospora elatina
Tail-less Tenrec,Tenrec ecaudatus
Cape Springbok,Antidorcas marsupialis marsupialis
Cape Kudu,Tragelaphus strepsiceros strepsiceros
Cape Clapper Lark ssp marjoriae,Mirafra apiata marjoriae
Ivy-leaved Morning-glory,Ipomoea hederacea
Hermit Warbler,Setophaga occidentalis
Northern Deep-brown Dart,Aporophyla lueneburgensis
White Springtail,Folsomia candida
Hybrid Cinnamon Teal x Blue-winged Teal,Spatula cyanoptera x Spatula discors
Ribbon Fern,Pteris cretica
Algerian Fan-fingered Gecko,Ptyodactylus oudrii
Werner's Diadem Snake,Spalerosophis dolichospilus
Morocco Wall Gecko,Tarentola boehmei
Algerian Whip Snake,Hemorrhois algirus
Desert Monitor,Varanus griseus
Boulenger's Feylinia,Sphenops boulengeri
Brongersma's Toad,Barbarophryne brongersmai
Variegated Squirrel ssp atrirufus,Sciurus variegatoides atrirufus
Mountain pine,Pinus uncinata
Rufous-necked Sparrowhawk,Accipiter erythrauchen
Tricolored Grebe ssp tricolor,Tachybaptus tricolor tricolor
Red-eared Fruit Dove ssp centralis,Ptilinopus fischeri centralis
Alpine apricot,Prunus brigantina
Rufous Hawk-Cuckoo,Hierococcyx hyperythrus
Acorn barnacle,Semibalanus balanoides
Great Golden Digger Wasp,Sphex ichneumoneus
Fork-tailed Storm Petrel,Oceanodroma furcata
Grey Vireo,Vireo vicinior
Orange-breasted Green Pigeon ssp bicinctus,Treron bicinctus bicinctus
Trailing speedwell,Veronica plebeia
Brazilian Teal ssp brasiliensis,Amazonetta brasiliensis brasiliensis
Ecuadorian Thrush,Turdus maculirostris
Zimmer's Flatbill ssp obscuriceps,Tolmomyias assimilis obscuriceps
Grey Shrikethrush ssp rufiventris,Colluricincla harmonica rufiventris
Yellow-footed Gull,Larus livens
Coastal Pantropical Spotted Dolphin,Stenella attenuata graffmani
Coiba Island Howler Monkey,Alouatta palliata coibensis
Brown Booby ssp etesiaca,Sula leucogaster etesiaca
Greater beggar's ticks,Bidens subalternans
Genet unknown,Genetta spec.
Cook's Swift,Apus cooki
Shy Heathwren ssp cauta,Hylacola cauta cauta
Shaggy Furrow Bee,Lasioglossum villosulum
Smooth pox lichen,Pyrenula laevigata
Baird's Junco,Junco bairdi
Rainbow Ophrys,Ophrys fusca subsp. iricolor
Leather fern,Acrostichum aureum
Greater Scaup ssp nearctica,Aythya marila nearctica
Topknot,Zeugopterus punctatus
Common Eider ssp dresseri,Somateria mollissima dresseri
Sweet-potato,Ipomoea batatas
Desert Lark ssp deserti,Ammomanes deserti deserti
Kyasuwa grass,Pennisetum pedicellatum
Cherry-laurel dot lichen,Bacidia laurocerasi
Asian Grass Lizard,Takydromus sexlineatus
Green-backed Becard,Pachyramphus viridis
Marsh Seedeater,Sporophila palustris
Zephyr Blue,Kretania pylaon
Simple Checkerspot,Chlosyne hippodrome
Spotted guitarfish,Rhinobatos punctifer
Moroccan Pearly Heath,Coenonympha arcanioides
White-bellied Blue Robin,Sholicola albiventris
Tufted Tit-Tyrant ssp parulus,Anairetes parulus parulus
Rannoch Sprawler,Brachionycha nubeculosa
Wilson's Storm Petrel ssp exasperatus,Oceanites oceanicus exasperatus
Antarctic Tern ssp gaini,Sterna vittata gaini
Southern Lapwing ssp fretensis,Vanellus chilensis fretensis
Sharknose goby,Elacatinus evelynae
Longlure frogfish,Antennarius multiocellatus
Pederson cleaner shrimp,Ancylomenes pedersoni
Hybrid Northern Shoveler x Blue-winged Teal,Spatula clypeata x Spatula discors
Common freesia,Freesia refracta
Lemon Dove ssp larvata,Columba larvata larvata
Great Spotted Woodpecker ssp anglicus,Dendrocopos major anglicus
Shearwater unknown,Puffinus spec.
Rorqual (Balaenoptera) unknown,Balaenoptera spec.
Green-tailed Bristlebill,Bleda eximius
Olivaceous Flycatcher,Muscicapa olivascens
Thick-billed Honeyguide,Indicator conirostris
Cassin's Honeybird,Prodotiscus insignis
Red-chested Owlet,Glaucidium tephronotum
Salt's Dik-dik ssp saltiana,Madoqua saltiana saltiana
Quick gloss,Zonitoides arboreus
Alfred manta,Manta alfredi
Siberian Stonechat ssp indicus,Saxicola maurus indicus
White-tailed Crested Flycatcher,Elminia albonotata
Kurrajong,Brachychiton populneus
Scarlet geranium,Pelargonium inquinans
Minute gem,Hawaiia minuscula
Plover spec,Pluvialis spec.
Curlew spec,Numenius spec.
Sugar gum,Eucalyptus cladocalyx
Red-shouldered Tanager,Tachyphonus phoenicius
Nursehound,Scyliorhinus stellaris
Sickle-winged Guan ssp tschudii,Chamaepetes goudotii tschudii
Carpet burrweed,Soliva stolonifera
Fringed shield lichen,Parmelina quercina
Spinous Spider Crab,Maja squinado
Kashmir Grey Langur,Semnopithecus ajax
Austral Thrush ssp magellanicus,Turdus falcklandii magellanicus
Cinder lichen,Aspicilia cinerea
Great Fruit-eating Bat,Artibeus lituratus
Black-crowned Antshrike ssp atrinucha,Thamnophilus atrinucha atrinucha
Kelp Goose ssp hybrida,Chloephaga hybrida hybrida
Syrian Bluet,Coenagrion syriacum
Brook Sprite,Pseudagrion spencei
Culcasia,Culcasia scandens
Western blue beauty,Protogoniomorpha cytora
Southern Guanaco,Lama guanicoe guanicoe
Busack's Fringe-fingered Lizard,Acanthodactylus busacki
Sudan Oribi,Ourebia ourebi montana
Ethiopian Klipspringer,Oreotragus oreotragus saltatrixoides
Bohor Reedbuck ssp bohor,Redunca redunca bohor
Stejnegerâ€™s Rain Frog,Craugastor stejnegerianus
Chilean Seaside Cinclodes,Cinclodes nigrofumosus
Harar Dik-dik,Madoqua saltiana hararensis
Somali Dwarf Mongoose,Helogale hirtula
Cliff Mining Bee,Andrena thoracica
Black-chested Buzzard-Eagle ssp australis,Geranoaetus melanoleucus australis
Yellow-green Vireo,Vireo flavoviridis
Redeye,Acacia cyclops
Cape-wattle,Paraserianthes lophantha
Rufous-collared Sparrow ssp hypoleuca,Zonotrichia capensis hypoleuca
Tillywurti,Dactylophora nigricans
Yellow-hooded Blackbird ssp bogotensis,Chrysomus icterocephalus bogotensis
Golden-crowned Tanager ssp rufivertex,Iridosornis rufivertex rufivertex
Golden-fronted Whitestart ssp ornatus,Myioborus ornatus ornatus
Sand Cat,Felis margarita
Common Ringed Plover ssp psammodromus,Charadrius hiaticula psammodromus
Sharp-collared Furrow Bee,Lasioglossum malachurum
Cape Bushbuck,Tragelaphus scriptus sylvaticus
Perennial Glasswort,Sarcocornia perennis
Long-tailed Shrike ssp caniceps,Lanius schach caniceps
Drynaria quercifoliaOakleaf Fern,Drynaria quercifolia
Black pepper,Piper nigrum
Holly-leaf mangrove,Acanthus ilicifolius
Gale of the wind,Phyllanthus niruri
Flat-top mille graines,Oldenlandia corymbosa
Blue trumpetvine,Thunbergia grandiflora
Sword-grass,Xylena exsoleta
Karira,Capparis decidua
African Soft-shelled Turtle,Trionyx triunguis
Dune Gecko,Stenodactylus petrii
Large Striped Flea Beetle,Phyllotreta nemorum
Orange-fronted Parakeet ssp canicularis,Eupsittula canicularis canicularis
Greater Bulldog Bat,Noctilio leporinus
Cascabel Rattlesnake,Crotalus durissus
Caucasian Fir,Abies nordmanniana
Khakiweed,Alternanthera pungens
Common sunstar,Crossaster papposus
Bitter Fennel,Foeniculum vulgare subsp. piperitum
Rose Flea Beetle,Luperomorpha xanthodera
Mottled Scrub-Hairstreak,Strymon mulucha
Orangespotted wrasse,Notolabrus parilus
Caucasian Snowdrop,Galanthus caucasicus
Mosque Swallow ssp monteiri,Cecropis senegalensis monteiri
Giant Plated Lizard,Matobosaurus validus
Hairy Woodpecker ssp extimus,Leuconotopicus villosus extimus
American Barn Owl spp guatemalae,Tyto furcata guatemalae
Central American Pygmy Owl,Glaucidium griseiceps
Brown-capped Pygmy Woodpecker ssp nanus,Yungipicus nanus nanus
Chameleon cichlid,Australoheros facetus
Channel Catfish,Ictalurus punctatus
Bare-crowned Antbird ssp sanctamartae,Gymnocichla nudiceps sanctamartae
Zebrafish,Girella zebra
Wavy grubfish,Parapercis haackei
Yellowtailed perch,Amniataba caudavittata
Bare-faced Bulbul,Nok hualon
Little Sparrowhawk ssp minullus,Accipiter minullus minullus
Black-crowned Tchagra ssp orientalis,Tchagra senegalus orientalis
Pale Flycatcher ssp divisus,Melaenornis pallidus divisus
Yellow-throated Bush Sparrow ssp bororensis,Gymnoris superciliaris bororensis
Golden-tailed Woodpecker ssp suahelica,Campethera abingoni suahelica
Grey Tit-Flycatcher ssp orientalis,Myioparus plumbeus orientalis
Wahlberg's Epauletted Fruit Bat,Epomophorus wahlbergi
Five-lined Skink,Trachylepis quinquetaeniata
Black-capped Donacobius ssp brachypterus,Donacobius atricapilla brachypterus
White-bellied Antbird ssp boucardi,Myrmeciza longipes boucardi
White-mantled Barbet ssp extinctus,Capito hypoleucus extinctus
Blue-necked Tanager ssp granadensis,Tangara cyanicollis granadensis
Sword razor shell,Ensis ensis
Green-winged Pytilia ssp melba,Pytilia melba melba
Red-billed Tropicbird ssp aethereus,Phaethon aethereus aethereus
Early Star-of-Bethlehem,Gagea bohemica
Tight-tufted bryum,Bryum creberrimum
Southern Black Tit ssp ravidus,Melaniparus niger ravidus
Plain-crested Elaenia,Elaenia cristata
Coraya Wren,Pheugopedius coraya
Tropical Screech Owl,Megascops choliba
Posthoreninktvis,Spirula spirula
Speckled Mousebird ssp integralis,Colius striatus integralis
Common Dwarf Mongoose ssp parvula,Helogale parvula parvula
Chestnut-backed Sparrow-Lark ssp smithi,Eremopterix leucotis smithi
White catworm,Nephtys cirrosa
Chestnut-crowned Gnateater ssp castaneiceps,Conopophaga castaneiceps castaneiceps
Boomslang,Dispholidus typus
Yellow-winged Locust,Gastrimargus musicus
Jacobin Cuckoo ssp serratus,Clamator jacobinus serratus
Lidth's Jay,Garrulus lidthi
Yellow-crowned Elaenia,Myiopagis flavivertex
Common Scale-backed Antbird,Willisornis poecilinotus
Red-billed Firefinch ssp somaliensis,Lagonosticta senegala somaliensis
Kashmir Nuthatch,Sitta cashmirensis
Hodgson's Treecreeper,Certhia hodgsoni
Flatbud pricklypoppy,Argemone munita
Indian Spot-billed Duck ssp poecilorhyncha,Anas poecilorhyncha poecilorhyncha
Prion spec.,Pachyptila spec.
Dusky Lark ssp nigricans,Pinarocorys nigricans nigricans
Mourning Collared Dove ssp ambigua,Streptopelia decipiens ambigua
Freckled Nightjar ssp granosus,Caprimulgus tristigma granosus
Red Knot ssp islandica,Calidris canutus islandica
Yellow-throated Bunting ssp elegans,Emberiza elegans elegans
Eurasian Nuthatch ssp roseilia,Sitta europaea roseilia
Square-tailed Nightjar ssp welwitschii,Caprimulgus fossii welwitschii
Double-banded Sandgrouse ssp multicolor,Pterocles bicinctus multicolor
Black Sea Urchin,Arbacia lixula
Lamellose wentletrap,Epitonium lamellosum
Egyptian Slit-faced Bat,Nycteris thebaica
Arabian Honey Badger,Mellivora capensis pumilio
"ÎšÎ¿Î»Ï‡Î¹ÎºÏŒ Ï„Î¿ Ï€Î¿Î¹ÎºÎ¹Î»ÏŒÎ¼Î¿ÏÏ†Î¿GÃ¼z AcÄ±Ã§iÄŸdemi, SÃ¼rincan",Colchicum variegatum
Meves's Starling ssp mevesii,Lamprotornis mevesii mevesii
Village Indigobird ssp amauropteryx,Vidua chalybeata amauropteryx
Spring Hare,Pedetes capensis
Long-billed Crombec ssp pallida,Sylvietta rufescens pallida
Blue-grey Tanager ssp nesophila,Thraupis episcopus nesophila
Wallacean Drongo ssp bimaensis,Dicrurus densus bimaensis
Bananaquit ssp luteola,Coereba flaveola luteola
Eastern Buzzard ssp toyoshimai,Buteo japonicus toyoshimai
Yellow-vented Bulbul ssp suluensis,Pycnonotus goiavier suluensis
Century plant,Agave angustifolia
Grey Bunting,Emberiza variabilis
White-throated Kingfisher ssp gularis,Halcyon smyrnensis gularis
Striped Woodcreeper,Xiphorhynchus obsoletus
Dutch Yellow Crocus,Crocus x luteus (C. angustifolius x flavus)
Ruddy Bumblebee,Bombus rubicundus
Dusty Skimmer,Dasythemis venosa
Corallina Firetail,Telebasis corallina
Splendid Sanddragon,Progomphus gracilis
Orange-tailed Bluetip,Minagrion waltheri
Blue-tipped Mountain Coral,Oxyagrion simile
Giant Metallic,Bryoplathanon globifer
Grassland Dragonlet,Erythrodiplax juliana
Paraguayan Dragonlet,Erythrodiplax paraguayensis
Neotropical Bluet,Enallagma novaehispaniae
Rainpool Spreadwing,Lestes forficula
Orange-striped Flatwing,Heteragrion aurantiacum
Blue-tipped Spreadwing,Lestes pictus
White-winged Magpie,Urocissa whiteheadi
Ivory-tailed Bluetip,Minagrion ribeiroi
Blakiston's Fish Owl ssp blakistoni,Bubo blakistoni blakistoni
Ruddy-breasted Crake ssp erythrothorax,Porzana fusca erythrothorax
Hellmayr's Pipit,Anthus hellmayri
Central European Wild Boar,Sus scrofa scrofa
Sunburst butterflyfish,Chaetodon aureofasciatus
Sea urchin unknown,Echinoidea indet.
Copperband butterflyfish,Chelmon rostratus
Black-crowned Tchagra ssp kalahari,Tchagra senegalus kalahari
Shikra ssp polyzonoides,Accipiter badius polyzonoides
Cinnamon-breasted Bunting ssp tahapisi,Emberiza tahapisi tahapisi
Desert Cisticola ssp kalahari,Cisticola aridulus kalahari
Great Sparrow ssp subsolanus,Passer motitensis subsolanus
Kalahari Scrub Robin ssp paena,Cercotrichas paena paena
Marico Flycatcher ssp mariquensis,Melaenornis mariquensis mariquensis
Golden-tailed Woodpecker ssp abingoni,Campethera abingoni abingoni
Buffy Pipit ssp vaalensis,Anthus vaalensis vaalensis
Coal Tit ssp insularis,Periparus ater insularis
Japanese Pygmy Woodpecker ssp seebohmi,Yungipicus kizuki seebohmi
Asian Rosy Finch ssp brunneonucha,Leucosticte arctoa brunneonucha
Northern Raven ssp kamtschaticus,Corvus corax kamtschaticus
Goldcrest ssp japonensis,Regulus regulus japonensis
Atlantic ancula,Ancula gibbosa
Dagua Thrush,Turdus daguae
"Brown trout, lacustrine morph",Salmo trutta morpha lacustris
Variegated Bristle Tyrant,Pogonotriccus poecilotis
Bladderpod,Peritoma arborea
White-browed Purpletuft,Iodopleura isabellae
Broad-leaved Bamboo,Sasa palmata
Northern Black Korhaan ssp afraoides,Afrotis afraoides afraoides
River Red Gum,Eucalyptus camaldulensis
Yellow-ridged Toucan,Ramphastos vitellinus culminatus
Tawny-tufted Toucanet,Selenidera nattereri
Chestnut-crested Antbird,Rhegmatorhina cristata
Celtic worm,Satchellius mammalis
African Peach Moth,Egybolis vaillantina
Tshuapa Red Colobus,Piliocolobus tholloni
Granular marine isopod,Idotea granulosa
Common Duiker ssp grimmia,Sylvicapra grimmia grimmia
Inca Jay ssp cyanodorsalis,Cyanocorax yncas cyanodorsalis
Small Hermit Crab,Diogenes pugilator
Squirrel's-tail,Justicia betonica
False yam,Icacina oliviformis
Dryzone-mahogany,Khaya senegalensis
Finger-root,Uvaria chamae
Lasimorpha,Lasimorpha senegalensis
White's-ginger,Mondia whitei
Spiral-ginger,Costus afer
Tallowtree,Detarium senegalense
Pink jacaranda,Stereospermum kunthianum
Australian Blackwood,Acacia melanoxylon
Lesser Spotted Woodpecker ssp hortorum,Dryobates minor hortorum
Goldcrest ssp regulus,Regulus regulus regulus
Floppers,Kalanchoe pinnata
Jankowski's Bunting,Emberiza jankowskii
Northern Boobook ssp japonica,Ninox japonica japonica
Lemon-bellied Crombec,Sylvietta denti
Sabota Lark ssp herero,Calendulauda sabota herero
Cape Klipspringer,Oreotragus oreotragus oreotragus
Washington fan palm,Washingtonia robusta
Solomons Flying Fox,Pteropus rayneri
Japanese holly grape,Mahonia japonica
Western king wrasse,Coris auricularis
Blackhead puller,Chromis klunzingeri
Stripey,Microcanthus strigatus
Dusky sea garfish,Hyporhamphus melanochir
Rough bullseye,Pempheris klunzingeri
Mountain Heath Dragon,Rankinia diemensis
Gingerbread-plum,Neocarya macrophylla
Pachystela,Synsepalum brevipes
Soft elephantsfoot,Elephantopus mollis
Acute spikerush,Eleocharis acutangula
Watersprite,Ceratopteris thalictroides
Preuss' dioscorea,Dioscorea preussii
Gold Coast jasmine,Jasminum dichotomum
Potato-bush,Phyllanthus reticulatus
Wild custard-apple,Annona senegalensis
False shea,Lophira lanceolata
Calycose mille graines,Oldenlandia lancifolia
Long-awn water grass,Echinochloa stagnina
Haspan flatsedge,Cyperus haspan
African mahogany,Afzelia africana
Old wife,Enoplosus armatus
Snowy-throated Kingbird,Tyrannus niveigularis
Honeybee unknown,Apis spec.
Red-billed Quelea ssp aethiopica,Quelea quelea aethiopica
Red Knot ssp canutus,Calidris canutus canutus
Bar-tailed Godwit ssp taymyrensis,Limosa lapponica taymyrensis
Ocellated Cool-skink,Niveoscincus ocellatus
White's Rock-skink,Liopholis whitii
Chestnut Rail,Eulabeornis castaneoventris
Fan-tailed Bark Moth,Callionima nomius
Wattled Jacana ssp peruviana,Jacana jacana peruviana
Hermit Thrush ssp faxoni,Catharus guttatus faxoni
Sulphur-rumped Tanager,Heterospingus rubrifrons
Cope's Vine Snake,Oxybelis brevirostris
Kumlien's Gull,Larus glaucoides kumlieni
Japanese Wisteria,Wisteria floribunda
Water dead and awake,Neptunia plena
Isabelline Serotine Bat,Eptesicus isabellinus
Chinese pond mussel,Sinanodonta woodiana
Veined Tip,Colotis vesta
Dusky Blue,Pseudonacaduba sichela
Hybrid Greyleg Goose x Tundra Bean Goose,Anser anser x Anser serrirostris
Red-rumped Woodpecker,Veniliornis kirkii
Dark-faced Ground Tyrant,Muscisaxicola maclovianus
Mediterranean horse mackerel,Trachurus mediterraneus
Plain-mantled Tit-Spinetail,Leptasthenura aegithaloides
Scale-throated Earthcreeper,Upucerthia dumetaria
Pampa Finch,Embernagra platensis
Boarfish,Capros aper
Deignan's Prinia,Prinia polychroa
Western striped cardinalfish,Ostorhinchus victoriae
Woodwards pomfret,Schuettea woodwardi
Western striped trumpeter,Pelates octolineatus
Yellow Tyrannulet,Capsiempis flaveola
Meadow White,Pontia helice
Santa Fe Land Iguana,Conolophus pallidus
Willow-leaved Pear,Pyrus salicifolia
Bulbul unknown,Pycnonotidae spec.
Blue-billed Curassow,Crax alberti
Barred Puffbird,Nystalus radiatus
Parrot Snake,Leptophis ahaetulla
White-lored Gnatcatcher,Polioptila albiloris
Red-shouldered Hawk ssp elegans,Buteo lineatus elegans
Cambodian Tailorbird,Orthotomus chaktomuk
White-necked Crow,Corvus leucognaphalus
Pineapple-guava,Acca sellowiana
WenzelÂ’s notchwort,Lophozia wenzelii
Lydd Beauty,Peribatodes ilicaria
Egyptian Bollworm,Earias insulana
Western talma,Chelmonops curiosus
Western butterfish,Pentapodus vitta
Whitesnow,Drymaria cordata
Sourberry,Rhus integrifolia
Rustyhead Snake,Amastridium veliferum
Chestnut-bellied Thrush,Turdus fulviventris
Painted-nettle,Coleus blumei
Black tegula,Tegula funebralis
Hairy sea-squirt,Ascidiella scabra
Great-tailed Grackle ssp loweryi,Quiscalus mexicanus loweryi
Green Imperial Pigeon ssp aenea,Ducula aenea aenea
Black-throated Loon ssp arctica,Gavia arctica arctica
Pratincole unknown,Glareola spec.
Fischer's Starling,Lamprotornis fischeri
Chinese Grassbird,Graminicola striatus
Western gobbleguts,Ostorhinchus rueppellii
New Zealand Fernbird ssp vealeae,Poodytes punctatus vealeae
Chinese Grey Shrike,Lanius sphenocercus
Polkadot-plant,Hypoestes phyllostachya
Western Yellow Robin,Eopsaltria griseogularis
Grass-leaved scabious,Lomelosia graminifolia
Pine Grosbeak ssp montana,Pinicola enucleator montana
Lettuce Shark,Cucullia lactucae
Long-tailed Tit ssp trivirgatus,Aegithalos caudatus trivirgatus
Humpback scallop,Talochlamys pusio
False rhubarb,Rheum rhaponticum
Flame-faced Tanager ssp lunigera,Tangara parzudakii lunigera
Crowned Woodnymph ssp fannyae,Thalurania colombica fannyae
Willow acacia,Acacia salicina
Silver oak,Grevillea robusta
Seashore springtail,Anurida maritima
Broad-snouted Caiman,Caiman latirostris
Pacific Koel ssp subcyanocephalus,Eudynamys orientalis subcyanocephalus
Yellow Thornbill ssp nana,Acanthiza nana nana
African Rock Python,Python sebae
Dot-backed Flatwing,Heteragrion ovatum
Long-tailed Bromeliad Guard,Leptagrion perlongum
Three-striped Hemispingus,Hemispingus trifasciatus
Chobe Bushbuck,Tragelaphus scriptus ornatus
Black-headed Oriole ssp angolensis,Oriolus larvatus angolensis
African Snipe ssp nigripennis,Gallinago nigripennis nigripennis
Flycatcher (Muscicapa) unknown,Muscicapa spec.
Turquoise-fronted Amazon,Amazona aestiva
Black-fronted Duiker,Cephalophus nigrifrons
Spotted paddleworm,Phyllodoce maculata
Stuhlmann's Blue Monkey,Cercopithecus mitis stuhlmanni
Leopard Rocket Frog,Anomaloglossus leopardus
Gracile Capuchin Monkey unknown,Cebus spec.
Tschudi's Nightjar,Systellura decussata
Masked Booby ssp dactylatra,Sula dactylatra dactylatra
Grey Kingbird ssp vorax,Tyrannus dominicensis vorax
Lustrous beard lichen,Usnea glabrata
Razor shell,Phaxas pellucidus
North African Fire Salamander,Salamandra algira
Senegal Chameleon,Chamaeleo senegalensis
Northern Golden Bulbul,Thapsinillas longirostris
Great Cuckoo-Dove,Reinwardtoena reinwardti
Moluccan Hanging Parrot,Loriculus amabilis
Common Paradise Kingfisher,Tanysiptera galatea
Gurney's Eagle,Aquila gurneyi
Moustached Treeswift,Hemiprocne mystacea
Cream-throated White-eye,Zosterops atriceps
Moluccan Starling,Aplonis mysolensis
Violet-necked Lory,Eos squamata
Spot-tailed Sparrowhawk,Accipiter trinotatus
Philippine Pitta,Erythropitta erythrogaster
Geomalia,Zoothera heinrichi
White-eared Myza,Myza sarasinorum
Crested Coua ssp dumonti,Coua cristata dumonti
Geoffroy's Tailless Bat,Anoura geoffroyi
Rufous-tailed Jungle Flycatcher ssp ruficrissa,Cyornis ruficauda ruficrissa
Blue Iris,Iris spuria
Whorled Tufa-moss,Eucladium verticillatum
Parnell's Mustached Bat,Pteronotus parnellii
Hybrid Northern Pintail x Eurasian Wigeon,Anas acuta x Mareca penelope
Tent-making Bat,Uroderma bilobatum
Red-chested Sunbird,Cinnyris erythrocercus
Marram grass chelifer,Dactylochelifer latreillii
Lesser Dog-like Bat,Peropteryx macrotis
Mesquite,Prosopis juliflora
Olive-bellied Sunbird,Cinnyris chloropygius
Sulcate astarte,Astarte sulcata
Irish Saxifrage,Saxifraga rosacea
Resin spurge,Euphorbia resinifera
Austral Blackbird,Curaeus curaeus
Horn fly,Haematobia irritans
Narrow-leaved Water-dropwort,Oenanthe silaifolia
Spiny Cave-cricket,Troglophilus spinulosus
White-crowned Penduline Tit,Remiz coronatus
Common Reed Bunting ssp caspia,Emberiza schoeniclus caspia
Fishing Spider unknown,Dolomedes spec.
Black Lark,Melanocorypha yeltoniensis
Gosling's Apalis,Apalis goslingi
Redshouldered ham beetle,Necrobia ruficollis
Green Sunfish,Lepomis cyanellus
Northern Right Whale Dolphin,Lissodelphis borealis
Delta Prawn,Palaemon longirostris
Dark Glassy Tiger,Parantica agleoides
Mediterranean Flycatcher ssp tyrrhenica,Muscicapa tyrrhenica tyrrhenica
Eurasian Jay ssp rufitergum,Garrulus glandarius rufitergum
Brown-gray m oss-shingle,Protopannaria pezizoides
Thomas's Flying Squirrel,Aeromys thomasi
Orange-vented Mason Bee,Osmia leaiana
White wormwood,Artemisia herba-alba
Kiss-me-quick,Portulaca pilosa
Adder's-tongue Spearwort,Ranunculus ophioglossifolius
North Caucasian Fox,Vulpes vulpes caucasica
Blue Canary-grass,Phalaris coerulescens
Three-lobed Crowfoot,Ranunculus tripartitus
Golden Eagle ssp daphanea,Aquila chrysaetos daphanea
Black-crowned Tanager,Phaenicophilus palmarum
Saxaul Sparrow,Passer ammodendri
Spotted Giant Flying Squirrel,Petaurista elegans
White fountain grass,Pennisetum orientale
Golden Crownbeard,Verbesina encelioides
Ruddy Ground Dove ssp rufipennis,Columbina talpacoti rufipennis
South Georgia Diving Petrel,Pelecanoides georgicus
Northern Schiffornis ssp dumicola,Schiffornis veraepacis dumicola
Long-faced Furrow Bee,Lasioglossum punctatissimum
Mediterranean Horseshoe Bat,Rhinolophus euryale
Aruba Whiptail,Cnemidophorus arubensis
Black Riverdarter,Onychothemis testacea
Harvest Ant,Messor spec.
Anatolian Fox,Vulpes vulpes anatolica
Vespula vulgaris-group,Vespula (Paravespula) spec.
Grey-rumped Swift ssp sclateri,Chaetura cinereiventris sclateri
Upright Chickweed,Moenchia erecta
Northern Goshawk ssp fujiyamae,Accipiter gentilis fujiyamae
Dusky Acraea,Acraea esebria
Azerbaijan Lizard,Darevskia raddei
Ravergier's Whip Snake,Hemorrhois ravergieri
Black-tailed Bumblebee,Bombus melanopygus
Fork-jawed Nomad Bee,Nomada ruficornis
Broad-billed Tody,Todus subulatus
Bordered Tortoise Beetle,Cassida vittata
Hybrid Northern Shoveler x Cinnamon Teal,Spatula clypeata x Spatula cyanoptera
Mediterranean pepperweed,Lepidium hirtum
Sandpit Blood Bee,Sphecodes pellucidus
Milos Viper,Macrovipera lebetina schweizeri
Italian Aesculapian Snake,Zamenis lineatus
Eastern Rock Nuthatch ssp obscura,Sitta tephronota obscura
Ruby-spotted Swallowtail,Papilio anchisiades
Milos Wall Lizard,Podarcis milensis
Sandarac,Tetraclinis articulata
Scaled Quail ssp hargravei,Callipepla squamata hargravei
Sharp-tailed Grouse ssp columbianus,Tympanuchus phasianellus columbianus
Red Crossbill ssp benti,Loxia curvirostra benti
